name,active,endAt,createdAt,updatedAt
San Tomé y Príncipe,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Serbia y Montenegro,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Sierra Leona,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Islas Salomón,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Somalia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Sudán,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Swazilandia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Tokelau,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Tonga,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Trinidad y Tobago,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Tuvalu,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Vanuatu,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Wallis y Futuna,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Sáhara Occidental,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Yemen,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Puerto Rico,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
